modification type,part id,color code,color,qty needed,qty inventory,qty missing
insufficient,15332,86,Light Bluish Gray,2,1,1
insufficient,15573,11,Black,8,1,7
insufficient,15712,11,Black,8,7,1
insufficient,15712,85,Dark Bluish Gray,30,9,21
insufficient,18677,86,Light Bluish Gray,6,2,4
insufficient,20482,1,White,4,2,2
insufficient,22885,1,White,34,6,28
insufficient,23443,86,Light Bluish Gray,6,2,4
insufficient,2420,11,Black,6,5,1
insufficient,2420,86,Light Bluish Gray,11,4,7
insufficient,24246,1,White,4,2,2
insufficient,2431,86,Light Bluish Gray,56,3,53
insufficient,2450,85,Dark Bluish Gray,10,1,9
insufficient,2540,85,Dark Bluish Gray,14,1,13
insufficient,26047,11,Black,3,1,2
insufficient,2654,86,Light Bluish Gray,7,3,4
insufficient,2780,11,Black,67,11,56
insufficient,3004,86,Light Bluish Gray,14,5,9
insufficient,3009,85,Dark Bluish Gray,5,2,3
insufficient,3020,6,Green,2,1,1
insufficient,3020,11,Black,19,1,18
insufficient,3020,85,Dark Bluish Gray,16,2,14
insufficient,3020,86,Light Bluish Gray,17,2,15
insufficient,3021,1,White,6,4,2
insufficient,3021,2,Tan,21,4,17
insufficient,3021,85,Dark Bluish Gray,5,3,2
insufficient,3022,3,Yellow,12,1,11
insufficient,3022,85,Dark Bluish Gray,16,1,15
insufficient,3022,86,Light Bluish Gray,28,1,27
insufficient,3023,6,Green,24,2,22
insufficient,3023,11,Black,43,2,41
insufficient,3023,69,Dark Tan,78,5,73
insufficient,3023,85,Dark Bluish Gray,22,7,15
insufficient,3023,86,Light Bluish Gray,102,4,98
insufficient,3024,85,Dark Bluish Gray,31,13,18
insufficient,3029,86,Light Bluish Gray,10,4,6
insufficient,3040,11,Black,4,2,2
insufficient,3040,12,Trans-Clear,4,1,3
insufficient,3068b,86,Light Bluish Gray,34,10,24
insufficient,3069b,86,Light Bluish Gray,78,6,72
insufficient,3176,11,Black,4,2,2
insufficient,32000,11,Black,4,1,3
insufficient,32018,11,Black,4,2,2
insufficient,32803,86,Light Bluish Gray,10,3,7
insufficient,33909,86,Light Bluish Gray,23,1,22
insufficient,3460,85,Dark Bluish Gray,11,1,10
insufficient,3623,7,Blue,3,2,1
insufficient,3623,85,Dark Bluish Gray,58,2,56
insufficient,3666,7,Blue,2,1,1
insufficient,3666,85,Dark Bluish Gray,12,10,2
insufficient,3679,86,Light Bluish Gray,5,2,3
insufficient,3680,11,Black,5,2,3
insufficient,36840,85,Dark Bluish Gray,6,3,3
insufficient,3710,6,Green,4,2,2
insufficient,3710,11,Black,26,7,19
insufficient,3710,85,Dark Bluish Gray,17,1,16
insufficient,3710,86,Light Bluish Gray,56,10,46
insufficient,3795,1,White,3,2,1
insufficient,3795,69,Dark Tan,6,1,5
insufficient,3795,86,Light Bluish Gray,30,6,24
insufficient,3832,11,Black,11,2,9
insufficient,3941,1,White,4,1,3
insufficient,4006,95,Flat Silver,2,1,1
insufficient,4032,6,Green,6,3,3
insufficient,4032,85,Dark Bluish Gray,2,1,1
insufficient,4073,86,Light Bluish Gray,59,22,37
insufficient,41740,86,Light Bluish Gray,28,4,24
insufficient,41862,86,Light Bluish Gray,6,1,5
insufficient,4265c,86,Light Bluish Gray,18,2,16
insufficient,43093,7,Blue,12,3,9
insufficient,43898,86,Light Bluish Gray,2,1,1
insufficient,4477,86,Light Bluish Gray,14,4,10
insufficient,4510,85,Dark Bluish Gray,3,2,1
insufficient,4865b,86,Light Bluish Gray,4,2,2
insufficient,48729b,11,Black,3,2,1
insufficient,54200,88,Reddish Brown,4,2,2
insufficient,60470b,86,Light Bluish Gray,11,1,10
insufficient,60479,86,Light Bluish Gray,19,2,17
insufficient,60596,86,Light Bluish Gray,2,1,1
insufficient,61409,85,Dark Bluish Gray,9,8,1
insufficient,63082,86,Light Bluish Gray,2,1,1
insufficient,6558,7,Blue,31,6,25
insufficient,6636,86,Light Bluish Gray,21,7,14
insufficient,85861,5,Red,6,2,4
insufficient,85861,34,Lime,46,6,40
insufficient,85861,86,Light Bluish Gray,10,9,1
insufficient,85984pb127,85,Dark Bluish Gray,5,3,2
insufficient,87079,2,Tan,3,2,1
insufficient,87087,86,Light Bluish Gray,5,2,3
insufficient,93274,1,White,6,4,2
insufficient,99206,86,Light Bluish Gray,15,6,9
insufficient,99207,86,Light Bluish Gray,29,4,25
insufficient,99563,86,Light Bluish Gray,40,14,26
insufficient,99780,11,Black,25,3,22
insufficient,99780,86,Light Bluish Gray,50,1,49
insufficient,99781,86,Light Bluish Gray,15,2,13
